shape_pt_lat,shape_pt_lon
32.775461,-96.806822
32.774805,-96.806604
32.774569,-96.806524
32.774316,-96.806446
32.774090,-96.806382
32.773969,-96.806345
32.773742,-96.806275
32.773452,-96.806185
32.773395,-96.806190
32.773352,-96.806201
32.773299,-96.806207
32.773251,-96.806248
32.773193,-96.806287
32.773134,-96.806334
32.773070,-96.806380
32.773033,-96.806408
32.772737,-96.806643
32.771468,-96.807643
32.770859,-96.808125
32.770720,-96.808223
32.770663,-96.808275
32.770621,-96.808306
32.770573,-96.808338
32.770515,-96.808392
32.770451,-96.808447
32.770356,-96.808517
32.770267,-96.808587
32.770172,-96.808667
32.770126,-96.808705
32.770062,-96.808752
32.769987,-96.808808
32.769961,-96.808831
32.769908,-96.808878
32.769134,-96.809479
32.768687,-96.809842
32.768566,-96.809940
32.767869,-96.810510
32.767718,-96.810618
32.767210,-96.811002
32.766250,-96.811770
32.765287,-96.812519
32.764985,-96.812754
32.763358,-96.814032
32.762896,-96.814393
32.762656,-96.814649
32.762547,-96.814812
32.762433,-96.815010
32.762271,-96.815334
32.761820,-96.816049
32.761433,-96.816665
32.761235,-96.816982
32.761024,-96.817321
32.760826,-96.817623
32.760713,-96.817797
32.760338,-96.818333
32.759709,-96.819124
32.759516,-96.819375
32.759338,-96.819588
32.759049,-96.819924
32.758578,-96.820446
32.758726,-96.821652
32.758890,-96.822888
32.758893,-96.822953
32.757799,-96.822921
32.756338,-96.822920
32.756195,-96.822941
32.754841,-96.823895
32.754626,-96.824003
32.754509,-96.824046
32.753953,-96.824045
32.753774,-96.824045
32.753415,-96.824056
32.752241,-96.824055
32.751766,-96.824065
32.751085,-96.824054
32.750708,-96.824065
32.750350,-96.824064
32.749964,-96.824064
32.749597,-96.824085
32.749453,-96.824117
32.749328,-96.824160
32.749148,-96.824225
32.748933,-96.824332
