stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,wheelchair_boarding
12901,12901,FOREST @ SHEPHERD - E - NS,,32.909084,-96.750428,,,1
12908,12908,WALNUT HILL @ RAMBLER - W - MB,,32.883393,-96.760888,,,1
12909,12909,WALNUT HILL @ GREENVILLE - E - MB,,32.883151,-96.760168,,,0
12916,12916,MATILDA @ PENROSE - S - NS,,32.832439,-96.767991,,,0
12917,12917,MATILDA @ MCCOMMAS - S - NS,,32.830131,-96.767975,,,0
12918,12918,MATILDA @ MONTICELLO - S - NS,,32.827129,-96.767991,,,0
12919,12919,MATILDA @ VANDERBILT - S - NS,,32.825092,-96.767998,,,0
12920,12920,MATILDA @ VICKERY - S - NS,,32.823062,-96.767998,,,0
12921,12921,MATILDA @ VELASCO - S - NS,,32.821076,-96.768052,,,0
12922,12922,MATILDA @ GOLIAD - S - NS,,32.818781,-96.768052,,,0
12923,12923,MATILDA @ RICHMOND - S - NS,,32.81628,-96.768063,,,1
12924,12924,MATILDA @ ORAM - S - NS,,32.813968,-96.768085,,,0
12925,12925,MATILDA @ LEWIS - S - NS,,32.812256,-96.7686,,,0
12926,12926,ROSS @ HOPE - W - NS,,32.811161,-96.769135,,,0
12936,12936,LIVE OAK @ WASHINGTON - W - NS,,32.79467,-96.782202,,,0
12937,12937,LIVE OAK @ HALL - W - NS,,32.792266,-96.785061,,,1
12938,12938,LIVE OAK @ LIBERTY - W - NS,,32.790187,-96.787513,,,1
12939,12939,LIVE OAK @ CANTEGRAL - W - NS,,32.788717,-96.789263,,,1
12940,12940,LIVE OAK @ CANTEGRAL - E - MB,,32.788347,-96.789583,,,1
12941,12941,LIVE OAK @ TEXAS - E - NS,,32.789222,-96.788531,,,0
12942,12942,LIVE OAK @ SKILES - E - MB,,32.791007,-96.786316,,,1
12944,12944,LIVE OAK @ HASKELL - E - NS,,32.796386,-96.779923,,,1
12954,12954,ROSS @ HOPE - E - FS,,32.811111,-96.769082,,,1
12955,12955,MATILDA @ LEWIS - N - FS,,32.812336,-96.768486,,,1
12956,12956,MATILDA @ ORAM - N - NS,,32.813758,-96.768006,,,1
12957,12957,MATILDA @ RICHMOND - N - NS,,32.815776,-96.767998,,,1
